BFS_NR,GEBIET_NAME,JAHR,Bevölkerung: Anteil 20-39-Jährige [%] ,Bevölkerung: Anteil 40-64-Jährige [%] ,Motorräder [Anz.] ,Motorräder pro 1000 Einwohner [Anz.] ,Bestand Elektromotor [%] ,Bevölkerung [Pers.] ,Ø steuerbares Einkommen natürliche Pers. [Fr.] ,Ø steuerbares Vermögen natürliche Pers. [Fr.] ,Erschliessung durch S-Bahn+Bus [% der Einw.] ,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.] ",MIV-Anteil (Modal Split) [%] ,Motorrad-Neuzulassungen [Anz.] ,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.] ,Neuzulassungen  Elektromotor [%] ,Weg zur nächsten Haltestelle [m] 
1,Aeugst a.A.,2019,18.5,43.8,237,119.8,1.3,1981,93918,814000000,0.0,5232.0,83.0,12,6.1,9.3,214.0
1,Aeugst a.A.,2020,18.7,43.8,263,132.8,2.4,2011,88390,767000000,0.0,5232.0,83.0,16,8.1,20.7,215.0
1,Aeugst a.A.,2021,18.6,43.3,258,128.3,3.4,1986,86312,782000000,0.0,5232.0,83.0,14,7.0,12.1,213.0
1,Aeugst a.A.,2022,18.4,42.4,265,133.4,5.2,1991,86111,859000000,0.0,5232.0,83.0,12,6.0,36.7,213.0
1,Aeugst a.A.,2023,18.2,42.4,252,126.6,7.5,1995,86111,859000000,0.0,5232.0,83.0,4,2.0,37.5,213.0
2,Affoltern a.A.,2019,28.2,33.5,761,62.4,0.9,12309,58556,261000000,35.3,50424.0,81.0,43,3.5,4.7,262.0
2,Affoltern a.A.,2020,27.9,33.5,841,68.3,1.2,12246,60816,268000000,35.3,50424.0,81.0,47,3.8,7.4,265.0
2,Affoltern a.A.,2021,27.8,33.5,872,71.2,1.6,12358,60345,300000000,35.3,50424.0,81.0,51,4.2,9.5,264.0
2,Affoltern a.A.,2022,27.8,33.1,861,69.7,2.7,12524,60095,314000000,35.3,50424.0,81.0,36,2.9,27.6,263.0
2,Affoltern a.A.,2023,27.2,33.2,849,67.8,3.7,12812,60095,314000000,35.3,50424.0,81.0,32,2.6,26.1,263.0
3,Bonstetten,2019,22.9,36.9,478,86.3,1.0,5576,74336,370000000,35.6,11292.0,75.0,25,4.5,6.0,199.0
3,Bonstetten,2020,22.5,36.8,506,90.7,1.3,5610,76263,368000000,35.6,11292.0,75.0,35,6.3,6.1,204.0
3,Bonstetten,2021,22.5,37.0,527,93.9,2.6,5632,73247,359000000,35.6,11292.0,75.0,43,7.7,21.0,202.0
3,Bonstetten,2022,21.9,37.3,542,96.2,3.6,5619,73784,365000000,35.6,11292.0,75.0,23,4.1,30.4,202.0
3,Bonstetten,2023,21.5,37.4,524,93.3,4.9,5657,73784,365000000,35.6,11292.0,75.0,27,4.8,23.5,202.0
4,Hausen a.A.,2019,19.2,40.6,365,98.8,1.2,3749,69795,385000000,0.0,7439.0,89.0,18,4.9,2.0,238.0
4,Hausen a.A.,2020,19.0,40.8,373,99.5,1.6,3797,71160,409000000,0.0,7439.0,89.0,20,5.3,11.1,241.0
4,Hausen a.A.,2021,18.5,40.4,396,104.3,2.1,3850,79017,455000000,0.0,7439.0,89.0,25,6.6,12.1,239.0
4,Hausen a.A.,2022,18.7,40.3,399,103.6,3.7,3872,72055,479000000,0.0,7439.0,89.0,24,6.2,27.5,238.0
4,Hausen a.A.,2023,18.5,39.7,405,104.6,5.0,3962,72055,479000000,0.0,7439.0,89.0,19,4.9,27.8,238.0
5,Hedingen,2019,22.5,39.2,317,85.0,1.6,3775,74838,435000000,75.2,9127.0,73.0,20,5.4,7.4,261.0
5,Hedingen,2020,22.1,39.4,298,78.9,2.2,3793,75867,417000000,75.2,9127.0,73.0,16,4.2,10.3,262.0
5,Hedingen,2021,21.3,39.8,308,81.2,2.9,3777,83225,487000000,75.2,9127.0,73.0,35,9.2,16.7,262.0
5,Hedingen,2022,22.5,39.0,318,84.2,3.9,3864,78570,496000000,75.2,9127.0,73.0,24,6.4,26.4,259.0
5,Hedingen,2023,22.7,38.4,343,88.8,4.9,3941,78570,496000000,75.2,9127.0,73.0,23,6.0,27.4,259.0
6,Kappel a.A.,2019,20.8,40.5,121,104.5,0.6,1221,69951,386000000,0.0,2982.0,97.0,8,6.9,5.6,206.0
6,Kappel a.A.,2020,19.5,41.3,127,104.0,0.7,1244,71406,389000000,0.0,2982.0,97.0,6,4.9,4.2,208.0
6,Kappel a.A.,2021,20.5,40.5,125,100.5,1.5,1287,73516,444000000,0.0,2982.0,97.0,5,4.0,11.1,206.0
6,Kappel a.A.,2022,20.0,40.5,122,94.8,3.3,1321,72970,453000000,0.0,2982.0,97.0,9,7.0,25.0,208.0
6,Kappel a.A.,2023,19.2,40.7,133,100.7,4.7,1322,72970,453000000,0.0,2982.0,97.0,6,4.5,32.1,208.0
7,Knonau,2019,23.3,37.5,177,74.7,1.1,2373,65768,307000000,0.0,5706.0,86.0,7,3.0,5.8,482.0
7,Knonau,2020,22.3,38.3,189,79.6,1.2,2368,69312,321000000,0.0,5706.0,86.0,10,4.2,5.6,487.0
7,Knonau,2021,22.7,38.0,195,82.3,2.8,2446,77835,352000000,0.0,5706.0,86.0,12,5.1,17.9,488.0
7,Knonau,2022,22.4,37.3,212,86.7,4.2,2411,72943,378000000,0.0,5706.0,86.0,13,5.3,17.0,490.0
7,Knonau,2023,21.1,37.7,201,83.4,6.3,2440,72943,378000000,0.0,5706.0,86.0,10,4.1,39.4,490.0
8,Maschwanden,2019,20.3,39.4,71,109.6,1.1,640,55005,303000000,0.0,2006.0,97.0,3,4.6,20.0,182.0
8,Maschwanden,2020,18.6,41.0,66,103.1,1.3,636,58789,371000000,0.0,2006.0,97.0,1,1.6,0.0,186.0
8,Maschwanden,2021,17.9,40.4,64,100.6,2.6,641,60097,413000000,0.0,2006.0,97.0,2,3.1,26.3,185.0
8,Maschwanden,2022,18.9,40.8,64,99.8,3.7,644,58041,425000000,0.0,2006.0,97.0,5,7.8,33.3,188.0
8,Maschwanden,2023,17.9,42.2,62,96.3,4.7,642,58041,425000000,0.0,2006.0,97.0,3,4.7,33.3,188.0
9,Mettmenstetten,2019,23.5,35.8,420,82.4,1.3,5199,73511,509000000,53.4,16742.0,89.0,27,5.3,5.8,274.0
9,Mettmenstetten,2020,23.5,35.6,447,86.0,1.6,5378,73101,487000000,53.4,16742.0,89.0,27,5.2,8.2,276.0
9,Mettmenstetten,2021,23.6,34.9,483,89.8,2.2,5566,73206,508000000,53.4,16742.0,89.0,30,5.6,15.1,278.0
9,Mettmenstetten,2022,22.6,35.4,472,84.8,3.4,5625,73738,525000000,53.4,16742.0,89.0,19,3.4,23.8,277.0
9,Mettmenstetten,2023,22.4,35.4,471,83.7,4.9,5683,73738,525000000,53.4,16742.0,89.0,18,3.2,28.2,277.0
10,Obfelden,2019,25.6,34.1,436,78.1,1.1,5725,64913,334000000,0.0,18486.0,91.0,42,7.5,6.7,210.0
10,Obfelden,2020,24.9,34.4,482,84.2,1.4,5778,65745,332000000,0.0,18486.0,91.0,36,6.3,8.5,212.0
10,Obfelden,2021,24.3,34.3,482,83.4,2.3,5755,64538,352000000,0.0,18486.0,91.0,49,8.5,16.7,212.0
10,Obfelden,2022,24.6,34.5,493,85.7,3.7,5779,65390,355000000,0.0,18486.0,91.0,43,7.5,29.0,211.0
10,Obfelden,2023,24.4,34.7,513,88.8,4.7,5842,65390,355000000,0.0,18486.0,91.0,41,7.1,29.7,211.0
11,Ottenbach,2019,19.4,39.1,302,118.3,0.8,2593,74631,445000000,0.0,7695.0,89.0,15,5.9,6.5,204.0
11,Ottenbach,2020,20.1,38.2,324,125.0,1.5,2706,72736,420000000,0.0,7695.0,89.0,18,6.9,10.5,200.0
11,Ottenbach,2021,20.1,37.9,321,118.6,2.6,2743,72928,436000000,0.0,7695.0,89.0,25,9.2,16.9,200.0
11,Ottenbach,2022,20.5,36.9,334,121.8,3.5,2847,73323,438000000,0.0,7695.0,89.0,17,6.2,22.5,197.0
11,Ottenbach,2023,21.7,35.7,334,117.3,4.6,2950,73323,438000000,0.0,7695.0,89.0,10,3.5,28.4,197.0
12,Rifferswil,2019,16.5,39.9,88,78.4,1.9,1129,70374,402000000,0.0,2528.0,90.0,5,4.5,12.5,206.0
12,Rifferswil,2020,17.0,39.6,91,80.6,2.6,1149,72749,448000000,0.0,2528.0,90.0,5,4.4,22.7,208.0
12,Rifferswil,2021,16.6,39.6,100,87.0,4.0,1151,75090,483000000,0.0,2528.0,90.0,10,8.7,24.0,207.0
12,Rifferswil,2022,15.5,40.1,104,90.4,5.7,1150,75248,499000000,0.0,2528.0,90.0,8,7.0,44.4,210.0
12,Rifferswil,2023,14.1,40.8,111,96.5,6.8,1145,75248,499000000,0.0,2528.0,90.0,6,5.2,47.6,210.0
13,Stallikon,2019,22.0,40.4,400,108.8,0.9,3753,85295,500000000,3.1,8598.0,71.0,22,6.0,4.5,218.0
13,Stallikon,2020,21.6,40.1,423,112.7,1.7,3785,87899,498000000,3.1,8598.0,71.0,36,9.6,11.0,221.0
13,Stallikon,2021,20.6,39.5,434,114.7,2.2,3827,85802,519000000,3.1,8598.0,71.0,31,8.2,11.9,222.0
13,Stallikon,2022,19.8,39.9,436,113.9,4.0,3855,84284,538000000,3.1,8598.0,71.0,28,7.3,34.9,221.0
13,Stallikon,2023,19.7,39.7,459,119.1,5.6,3861,84284,538000000,3.1,8598.0,71.0,32,8.3,33.0,221.0
14,Wettswil a.A.,2019,20.0,36.4,404,78.1,1.6,5235,104214,792000000,14.4,9854.0,82.0,26,5.0,6.2,150.0
14,Wettswil a.A.,2020,20.0,36.5,437,83.5,2.4,5278,102499,759000000,14.4,9854.0,82.0,40,7.6,12.1,151.0
14,Wettswil a.A.,2021,19.4,37.4,455,86.2,3.6,5286,97781,787000000,14.4,9854.0,82.0,35,6.6,18.7,152.0
14,Wettswil a.A.,2022,18.9,37.7,465,88.0,5.0,5281,98510,726000000,14.4,9854.0,82.0,28,5.3,25.0,151.0
14,Wettswil a.A.,2023,18.3,37.6,476,90.1,7.3,5306,98510,726000000,14.4,9854.0,82.0,29,5.5,35.0,151.0
21,Adlikon (bis 2022),2019,21.6,38.3,76,107.5,0.9,694,62618,514000000,0.0,2556.0,98.0,1,1.4,0.0,486.0
21,Adlikon (bis 2022),2020,19.6,38.6,71,102.3,1.3,689,63882,522000000,0.0,2556.0,98.0,1,1.4,0.0,511.0
21,Adlikon (bis 2022),2021,19.4,37.8,72,104.5,2.4,716,66192,520000000,0.0,2556.0,98.0,3,4.4,55.6,492.0
21,Adlikon (bis 2022),2022,19.1,37.5,74,103.4,3.1,707,64790,541000000,0.0,2556.0,98.0,3,4.2,18.8,488.0
22,Benken,2019,22.8,40.6,106,124.0,1.4,847,64675,375000000,0.0,3443.0,94.0,6,7.0,12.0,288.0
22,Benken,2020,22.9,40.2,111,131.1,1.4,851,67270,378000000,0.0,3443.0,94.0,8,9.4,0.0,288.0
22,Benken,2021,22.6,39.8,116,136.3,1.7,846,65331,380000000,0.0,3443.0,94.0,6,7.1,26.7,287.0
22,Benken,2022,22.7,38.7,106,125.3,2.0,847,70346,683000000,0.0,3443.0,94.0,3,3.5,33.3,287.0
22,Benken,2023,22.0,38.4,94,111.0,3.8,849,70346,683000000,0.0,3443.0,94.0,7,8.3,38.9,287.0
23,Berg a.I.,2019,20.4,41.3,80,140.6,0.2,578,97468,1519000000,0.0,1881.0,92.0,3,5.3,0.0,200.0
23,Berg a.I.,2020,20.8,40.8,89,154.0,0.7,595,93987,1738000000,0.0,1881.0,92.0,2,3.5,11.1,201.0
23,Berg a.I.,2021,20.5,41.6,91,152.9,1.2,591,93141,1771000000,0.0,1881.0,92.0,4,6.7,8.3,198.0
23,Berg a.I.,2022,19.6,40.9,95,160.7,1.5,592,97830,1898000000,0.0,1881.0,92.0,4,6.8,20.0,203.0
23,Berg a.I.,2023,18.6,39.1,90,152.0,2.3,601,97830,1898000000,0.0,1881.0,92.0,3,5.1,22.2,203.0
24,Buch a.I.,2019,24.3,35.8,123,125.9,1.2,979,70226,412000000,0.0,2710.0,93.0,6,6.1,5.9,146.0
24,Buch a.I.,2020,24.9,34.8,138,141.0,1.7,1022,70701,426000000,0.0,2710.0,93.0,9,9.2,11.4,145.0
24,Buch a.I.,2021,23.2,35.2,137,134.1,3.5,1026,68692,447000000,0.0,2710.0,93.0,7,6.8,25.0,145.0
24,Buch a.I.,2022,21.5,36.4,135,131.6,6.0,1038,67982,464000000,0.0,2710.0,93.0,8,7.8,43.8,143.0
24,Buch a.I.,2023,21.9,37.3,133,128.1,5.8,1032,67982,464000000,0.0,2710.0,93.0,9,8.7,15.6,143.0
25,Dachsen,2019,19.5,38.5,214,111.7,1.6,1916,69416,418000000,75.0,4043.0,75.0,6,3.1,7.0,305.0
25,Dachsen,2020,19.5,38.7,226,118.0,1.9,1912,68288,427000000,75.0,4043.0,75.0,4,2.1,7.5,303.0
25,Dachsen,2021,19.7,38.6,220,115.1,2.8,1948,70269,426000000,75.0,4043.0,75.0,8,4.2,25.6,303.0
25,Dachsen,2022,19.8,39.0,228,117.0,4.3,1951,67553,429000000,75.0,4043.0,75.0,11,5.6,35.1,307.0
25,Dachsen,2023,19.9,38.8,225,115.3,6.1,1974,67553,429000000,75.0,4043.0,75.0,8,4.1,30.2,307.0
26,Dorf,2019,21.4,40.3,96,145.9,0.7,658,66374,403000000,0.0,2157.0,90.0,4,6.1,7.1,223.0
26,Dorf,2020,22.0,40.8,96,145.9,1.2,665,65877,397000000,0.0,2157.0,90.0,5,7.6,15.4,220.0
26,Dorf,2021,23.7,38.8,100,150.4,1.5,695,67211,429000000,0.0,2157.0,90.0,5,7.5,5.0,219.0
26,Dorf,2022,23.7,38.9,113,162.6,3.4,712,67550,403000000,0.0,2157.0,90.0,4,5.8,21.4,219.0
26,Dorf,2023,24.0,38.7,110,154.5,4.5,721,67550,403000000,0.0,2157.0,90.0,8,11.2,25.0,219.0
27,Feuerthalen,2019,25.5,36.7,334,92.2,0.6,3605,59971,265000000,0.0,9039.0,92.0,15,4.1,2.3,164.0
27,Feuerthalen,2020,25.6,36.9,350,97.1,0.9,3700,61062,275000000,0.0,9039.0,92.0,24,6.7,5.9,166.0
27,Feuerthalen,2021,25.4,36.7,373,100.8,1.5,3764,61225,277000000,0.0,9039.0,92.0,23,6.2,10.9,165.0
27,Feuerthalen,2022,25.2,36.4,357,94.8,2.8,3766,60018,297000000,0.0,9039.0,92.0,18,4.8,23.4,165.0
27,Feuerthalen,2023,23.9,36.6,342,90.8,3.0,3811,60018,297000000,0.0,9039.0,92.0,16,4.2,16.4,165.0
28,Flaach,2019,24.9,36.8,139,98.8,1.0,1420,65124,388000000,0.0,4777.0,93.0,5,3.6,2.1,256.0
28,Flaach,2020,24.7,37.4,154,108.5,1.4,1427,66039,400000000,0.0,4777.0,93.0,12,8.5,8.1,247.0
28,Flaach,2021,24.2,36.8,155,108.6,2.4,1439,66978,400000000,0.0,4777.0,93.0,16,11.2,21.4,244.0
28,Flaach,2022,23.9,36.2,165,114.7,4.4,1474,66223,408000000,0.0,4777.0,93.0,5,3.5,35.0,249.0
28,Flaach,2023,24.9,35.7,163,110.6,4.9,1489,66223,408000000,0.0,4777.0,93.0,10,6.8,23.1,249.0
29,Flurlingen,2019,23.4,38.3,142,98.8,1.3,1477,73705,493000000,0.0,3924.0,96.0,4,2.8,1.8,372.0
29,Flurlingen,2020,23.1,38.4,138,93.4,1.6,1556,72525,495000000,0.0,3924.0,96.0,4,2.7,8.3,378.0
29,Flurlingen,2021,21.6,39.2,141,90.6,2.0,1516,72490,502000000,0.0,3924.0,96.0,8,5.1,8.8,376.0
29,Flurlingen,2022,21.5,39.4,135,89.1,3.3,1514,73682,518000000,0.0,3924.0,96.0,7,4.6,22.2,376.0
29,Flurlingen,2023,21.5,39.2,128,84.5,5.6,1510,73682,518000000,0.0,3924.0,96.0,4,2.6,46.7,376.0
30,Andelfingen (bis 2022),2019,24.2,33.1,200,90.6,1.4,2238,68948,494000000,48.4,10383.0,82.0,7,3.2,6.3,380.0
30,Andelfingen (bis 2022),2020,22.5,34.7,201,89.8,1.7,2227,68472,454000000,48.4,10383.0,82.0,11,4.9,19.0,389.0
30,Andelfingen (bis 2022),2021,22.8,34.3,197,88.5,2.6,2225,68399,464000000,48.4,10383.0,82.0,12,5.4,18.2,390.0
30,Andelfingen (bis 2022),2022,22.0,35.1,210,94.4,3.4,2227,67235,473000000,48.4,10383.0,82.0,11,4.9,26.5,395.0
31,Henggart,2019,19.8,37.0,187,83.4,1.6,2235,66347,378000000,67.7,5410.0,76.0,14,6.2,12.3,319.0
31,Henggart,2020,20.4,37.5,195,87.2,1.9,2294,67778,375000000,67.7,5410.0,76.0,12,5.4,10.0,323.0
31,Henggart,2021,20.8,37.1,197,85.9,3.0,2302,68273,391000000,67.7,5410.0,76.0,8,3.5,21.7,321.0
31,Henggart,2022,20.8,37.4,207,89.9,3.7,2257,65723,408000000,67.7,5410.0,76.0,9,3.9,26.9,320.0
31,Henggart,2023,20.8,36.8,191,84.6,4.7,2318,65723,408000000,67.7,5410.0,76.0,11,4.9,33.3,320.0
32,Humlikon (bis 2022),2019,14.8,40.4,46,94.7,0.4,485,70094,488000000,0.0,1694.0,91.0,2,4.1,0.0,179.0
32,Humlikon (bis 2022),2020,15.7,39.7,50,103.1,0.3,484,71928,512000000,0.0,1694.0,91.0,3,6.2,0.0,174.0
32,Humlikon (bis 2022),2021,17.0,39.3,50,103.3,1.0,488,69185,504000000,0.0,1694.0,91.0,2,4.1,10.0,172.0
32,Humlikon (bis 2022),2022,16.0,40.1,45,92.2,1.7,494,69659,516000000,0.0,1694.0,91.0,0,0.0,0.0,172.0
33,Kleinandelfingen,2019,21.5,38.8,226,107.2,0.6,2077,63267,391000000,18.0,10766.0,95.0,16,7.6,1.5,533.0
33,Kleinandelfingen,2020,21.6,38.4,240,115.6,0.8,2105,60493,404000000,18.0,10766.0,95.0,16,7.7,0.0,526.0
33,Kleinandelfingen,2021,22.1,37.6,260,123.5,1.4,2132,61431,409000000,18.0,10766.0,95.0,31,14.7,15.6,540.0
33,Kleinandelfingen,2022,20.6,37.6,251,117.7,2.2,2131,65382,402000000,18.0,10766.0,95.0,25,11.7,18.8,550.0
33,Kleinandelfingen,2023,20.6,37.8,273,128.1,3.3,2191,65382,402000000,18.0,10766.0,95.0,20,9.4,23.7,550.0
34,Laufen-Uhwiesen,2019,18.0,41.4,207,121.3,1.4,1759,98433,604000000,0.8,4801.0,94.0,13,7.6,8.7,239.0
34,Laufen-Uhwiesen,2020,18.4,41.3,213,121.1,1.5,1780,79595,586000000,0.8,4801.0,94.0,8,4.5,4.4,243.0
34,Laufen-Uhwiesen,2021,17.6,42.0,207,116.3,2.4,1780,80007,661000000,0.8,4801.0,94.0,13,7.3,15.1,242.0
34,Laufen-Uhwiesen,2022,17.2,41.5,205,115.2,3.7,1780,77603,684000000,0.8,4801.0,94.0,7,3.9,34.2,242.0
34,Laufen-Uhwiesen,2023,18.6,41.2,213,119.7,5.8,1810,77603,684000000,0.8,4801.0,94.0,14,7.9,34.1,242.0
35,Marthalen,2019,24.0,36.8,217,114.1,0.7,1908,69759,413000000,46.6,7958.0,86.0,10,5.3,5.8,445.0
35,Marthalen,2020,23.3,36.8,234,122.6,0.9,1929,70187,427000000,46.6,7958.0,86.0,12,6.3,6.7,446.0
35,Marthalen,2021,22.9,37.0,229,118.7,1.4,1927,70597,436000000,46.6,7958.0,86.0,14,7.3,14.3,440.0
35,Marthalen,2022,22.0,36.0,223,115.7,2.0,1948,67851,453000000,46.6,7958.0,86.0,12,6.2,13.0,436.0
35,Marthalen,2023,21.9,35.4,230,118.1,3.0,1948,67851,453000000,46.6,7958.0,86.0,11,5.6,21.4,436.0
37,Ossingen,2019,24.6,36.9,140,85.7,0.9,1665,55823,303000000,63.4,4882.0,92.0,7,4.3,8.1,352.0
37,Ossingen,2020,25.5,36.3,142,85.3,1.1,1726,57093,314000000,63.4,4882.0,92.0,10,6.0,10.3,348.0
37,Ossingen,2021,25.1,36.3,145,84.0,1.6,1696,59166,327000000,63.4,4882.0,92.0,9,5.2,18.5,341.0
37,Ossingen,2022,24.6,36.2,147,86.7,2.0,1710,59639,340000000,63.4,4882.0,92.0,9,5.3,13.6,349.0
37,Ossingen,2023,23.7,36.1,148,86.5,2.6,1697,59639,340000000,63.4,4882.0,92.0,7,4.1,26.5,349.0
38,Rheinau,2019,19.7,41.8,133,100.5,0.8,1315,60378,276000000,0.0,4378.0,84.0,4,3.0,4.8,202.0
38,Rheinau,2020,18.6,41.3,152,115.6,0.9,1291,61469,277000000,0.0,4378.0,84.0,7,5.3,8.3,205.0
38,Rheinau,2021,19.2,40.7,153,118.5,1.6,1295,59805,301000000,0.0,4378.0,84.0,5,3.9,21.1,206.0
38,Rheinau,2022,18.8,40.5,156,120.5,2.2,1285,60282,337000000,0.0,4378.0,84.0,9,6.9,15.8,207.0
38,Rheinau,2023,19.5,38.8,146,113.6,3.4,1284,60282,337000000,0.0,4378.0,84.0,7,5.4,33.3,207.0
39,Thalheim a.d.Th.,2019,18.3,42.1,122,133.0,1.5,942,65443,433000000,3.3,2773.0,94.0,6,6.5,14.3,233.0
39,Thalheim a.d.Th.,2020,19.7,40.4,136,144.4,1.4,953,67020,391000000,3.3,2773.0,94.0,7,7.4,8.7,232.0
39,Thalheim a.d.Th.,2021,18.5,41.3,141,148.0,1.8,976,66058,381000000,3.3,2773.0,94.0,10,10.5,19.0,235.0
39,Thalheim a.d.Th.,2022,19.5,40.3,150,153.7,3.5,979,64296,387000000,3.3,2773.0,94.0,10,10.2,38.9,237.0
39,Thalheim a.d.Th.,2023,19.2,40.4,155,158.3,4.6,1027,64296,387000000,3.3,2773.0,94.0,12,12.3,34.4,237.0
40,Trüllikon,2019,20.0,36.6,131,123.4,0.9,1056,59759,391000000,0.0,5380.0,96.0,4,3.8,0.0,216.0
